Age,Gender,Marital status,Occupation,Education Qualification,Member in family,Place,Which you like to prefer for online food app,Feedback of last order
21,Male,Unmarried,Student,Graduation,2,Alipurduar,Zomato,Positive
21,Male,Unmarried,Student,Graduation,2,Alipurduar,Zomato,Positive
18,Female,Unmarried,Student,Higher Secondary,4,Coochbehar,Swiggy,Positive
22,Female,Unmarried,Student,Masters,9,Islampur ,Zomato,Positive
21,Male,Unmarried,Student,Graduation,2,Alipurduar,Zomato,Negative
26,Male,Unmarried,Student,PHD,6,Alipurduar,Zomato,Negative
20,Female,Unmarried,Student,Graduation,8,Coochbehar,Swiggy,Positive
39,Male,Married,Service,PHD,5,Coochbehar,Swiggy,Positive
22,Male,Unmarried,Business,Graduation,4,Coochbehar,Zomato,Negative
20,Male,Unmarried,Student,Graduation,4,Coochbehar,Zomato,Positive
21,Male,Unmarried,Student,Secondary,2,Alipurduar,Zomato,Positive
21,Male,Unmarried,Student,Higher Secondary,2,Alipurduar,Zomato,Positive
26,Male,Unmarried,Student,Graduation,3,Alipurduar,Swiggy,Positive
32,Male,Unmarried,Student,Masters,4,Coochbehar,Zomato,Positive
20,Male,Unmarried,Student,Higher Secondary,3,Coochbehar,Zomato,Positive
20,Male,Unmarried,Student,Graduation,1,Coochbehar,Zomato,Positive
25,Male,Married,Business,Masters,4,Coochbehar,Zomato,Negative
